gene_id,tempResponsive,PIF7Dependent
AT1G13510,False,False
AT1G13520,False,False
AT1G13530,False,False
AT1G13540,False,False
AT1G13560,False,False
AT1G13570,False,False
AT1G13580,False,False
AT1G13590,False,True
AT1G13600,False,False
AT1G13609,False,False
AT1G13620,False,False
AT1G13630,False,False
AT1G13635,False,False
AT1G13640,False,False
AT1G13650,False,False
AT1G13670,False,True
AT1G13690,False,False
AT1G13700,False,False
AT1G13710,False,False
AT1G13730,False,False
AT1G13740,False,False
AT1G13750,False,False
AT1G13770,False,False
AT1G13780,False,False
AT1G13790,True,False
AT1G13810,False,False
AT1G13820,False,False
AT1G13830,False,False
AT1G13860,False,False
AT1G13870,False,False
AT1G13880,False,False
AT1G13900,False,False
AT1G13910,False,False
AT1G13920,False,False
AT1G13930,False,False
AT1G13940,False,False
AT1G13950,False,False
AT1G13960,False,False
AT1G13970,False,False
AT1G13980,False,False
AT1G13990,False,False
AT1G14000,False,False
AT1G14010,False,False
AT1G14020,False,False
AT1G14030,False,False
AT1G14040,False,False
AT1G14060,False,False
AT1G14070,False,False
AT1G14071,False,False
AT1G14080,False,True
AT1G14090,False,False
AT1G14120,True,False
AT1G14130,False,False
AT1G14140,False,False
AT1G14150,False,False
AT1G14160,False,False
AT1G14170,False,False
AT1G14180,False,False
AT1G14182,False,False
AT1G14185,False,False
AT1G14190,False,False
AT1G14200,False,False
AT1G14205,False,False
AT1G14210,False,False
AT1G14220,False,False
AT1G14230,False,False
AT1G14240,False,False
AT1G14250,False,False
AT1G14260,False,False
AT1G14270,False,False
AT1G14280,True,False
AT1G14290,False,False
AT1G14300,False,False
AT1G14310,False,False
AT1G14320,False,False
AT1G14330,False,False
AT1G14340,False,False
AT1G14345,False,False
AT1G14350,False,False
AT1G14360,False,False
AT1G14370,False,True
AT1G14380,False,False
AT1G14390,False,True
AT1G14400,False,False
AT1G14410,False,False
AT1G14430,False,False
AT1G14440,False,False
AT1G14450,False,False
AT1G14460,False,True
AT1G14470,False,False
AT1G14480,True,True
AT1G14490,False,False
AT1G14510,False,False
AT1G14520,True,False
AT1G14530,False,False
AT1G14540,False,True
AT1G14560,False,False
AT1G14570,False,False
AT1G14580,False,False
AT1G14590,False,False
AT1G14600,False,True
AT1G14610,False,False
AT1G14620,False,False
AT1G14630,False,False
AT1G14640,False,False
AT1G14642,True,False
AT1G14650,False,False
AT1G14660,False,False
AT1G14670,False,False
AT1G14680,False,False
AT1G14685,False,False
AT1G14687,False,False
AT1G14690,False,False
AT1G14700,True,False
AT1G14710,False,False
AT1G14720,False,False
AT1G14730,False,False
AT1G14740,False,False
AT1G14760,False,False
AT1G14770,False,False
AT1G14780,False,False
AT1G14790,False,False
AT1G14810,False,False
AT1G14820,False,False
AT1G14830,False,False
AT1G14840,False,False
AT1G14850,False,False
AT1G14860,False,False
AT1G14870,False,True
AT1G14890,True,False
AT1G14900,False,False
AT1G14910,False,False
AT1G14920,False,False
AT1G14960,False,False
AT1G14970,False,False
AT1G14980,False,False
AT1G14990,False,False
AT1G15000,False,False
AT1G15002,False,False
AT1G15010,False,False
AT1G15020,False,False
AT1G15030,False,False
AT1G15040,False,False
AT1G15050,True,True
AT1G15060,False,False
AT1G15080,False,False
AT1G15100,False,False
AT1G15110,False,False
AT1G15120,False,False
AT1G15125,False,False
AT1G15130,False,False
AT1G15140,False,False
AT1G15165,False,False
AT1G15170,False,False
AT1G15175,True,False
AT1G15180,False,False
AT1G15200,False,False
AT1G15210,False,False
AT1G15215,False,False
AT1G15220,False,False
AT1G15230,False,False
AT1G15240,False,False
AT1G15250,False,False
AT1G15260,False,False
AT1G15270,False,False
AT1G15280,False,False
AT1G15290,False,False
AT1G15300,False,False
AT1G15310,False,True
AT1G15330,False,False
AT1G15340,False,False
AT1G15350,False,False
AT1G15370,False,False
AT1G15380,True,True
AT1G15385,False,False
AT1G15390,False,False
AT1G15400,False,False
AT1G15405,False,False
AT1G15410,False,False
AT1G15415,False,True
AT1G15420,False,False
AT1G15430,False,False
AT1G15440,False,False
AT1G15460,False,False
AT1G15470,False,False
AT1G15480,False,False
AT1G15490,False,False
