,ind1,ind2,indAll,indAny,indnot1,indnot2,ind1=tempResponsive,ind2=PIF7Dependent
252,AT2G31890,AT1G75260,AT2G40610,AT5G20240,AT3G12610,AT5G03230,,
253,AT3G06140,AT2G40113,AT1G77870,ATMG00830,AT5G47240,AT4G19820,,
254,AT5G47740,AT1G03870,AT1G10550,AT2G36950,AT5G13900,AT3G55420,,
255,AT3G23050,AT5G41900,AT1G04778,AT1G63300,AT3G14940,AT5G08150,,
256,AT3G02170,AT4G33905,AT3G22400,AT5G08185,AT3G54030,AT4G17460,,
257,AT5G02840,AT2G22500,AT1G79245,AT1G11185,AT2G40370,AT3G53040,,
258,AT4G25810,AT4G10150,AT2G43050,AT3G21670,AT3G12110,AT1G01620,,
259,AT3G48550,AT1G29420,AT5G06930,AT5G42680,AT1G70170,AT2G47770,,
260,AT1G09460,AT4G03190,AT2G28780,AT3G52680,AT2G23170,AT1G33055,,
261,AT4G35100,AT3G04040,AT2G26220,AT5G48310,AT3G15340,AT4G36730,,
262,AT1G15175,AT2G46590,AT2G18480,AT5G44260,AT1G34670,AT1G32100,,
263,AT1G60740,AT3G16180,AT4G14819,AT2G14890,AT1G04680,AT1G22370,,
264,AT3G28180,AT4G39800,AT2G41170,AT4G34540,AT1G01190,AT1G32450,,
265,AT5G55730,AT5G05365,AT5G57760,AT5G43620,AT4G39210,AT1G35516,,
266,AT1G32780,AT3G03850,AT1G09570,AT3G54510,AT3G53480,AT5G57790,,
267,AT5G65390,AT4G00910,AT1G77200,AT5G03890,AT5G42250,AT2G19650,,
268,AT2G21820,AT3G50930,AT1G05820,AT2G25770,AT1G74650,AT5G14780,,
269,AT2G05540,AT3G55720,AT4G37980,AT1G20440,AT2G40475,AT2G32870,,
270,AT4G13040,AT5G43180,AT1G64640,AT3G14260,AT4G33280,AT1G25098,,
271,AT2G26690,AT3G23050,AT3G02170,AT4G00380,AT1G05260,AT1G59860,,
272,AT1G29600,AT3G46900,AT4G08040,AT3G04960,AT2G36750,AT3G17520,,
273,AT2G37870,AT4G08040,AT2G21830,AT5G65730,AT3G62270,AT5G40420,,
274,AT3G13061,AT1G61340,AT3G18850,AT4G13310,AT3G20110,AT3G58120,,
275,AT5G52900,AT4G25810,AT2G20835,AT5G20270,AT1G26560,AT4G04630,,
276,AT4G34760,AT5G63180,AT4G12730,AT1G07610,AT1G73780,AT2G35300,,
